PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-13,13:02:47.74,1,1,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Blazier, Ian",813662,Left,SLU_BILL,Undefined,1,Top,0,0,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,88.35864,-2.539283,0.183011,2197.872934,163.578974,11:30,7.17708,0.06932,5.6732,-12.91827,23.7743,-6.60343,3.73158,-0.31034,79.49412,-5.068514,-0.997214,0.435974,,,,,,,,,,,,3.38075,13.23272,-0.08066,50,6.95479,-0.11471,-127.96461,-5.97535,5.51583,30.35733,-10.58437,DAV_WIL,SLU_BILL,WilsonField,D1,A10,20250413-WilsonField-1,208aaa30-1889-11f0-837d-49184ba919f3,86.45573,,,8.86452,,,,,,,cc1e0e90-911d-404c-a17e-66196ccb5aa1,2025-04-13,17:02:47.74,2025-04-13T13:02:47.7489152-04:00,2025-04-13T17:02:47.7489152Z,,v3,471280,471427,13 April 2025 13:00-stlouis@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,074bb3f1-f920-4e16-9a32-b2c03bad3035,54.822,-129.10348,15.17867,7.17151,-5.57827,-5.29219,-0.07248,-0.32164,2.75791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-13,13:03:06.30,1,2,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Blazier, Ian",813662,Left,SLU_BILL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.64572,-3.111423,-0.439087,2181.712867,168.122738,11:30,7.13217,-0.18776,5.5544,-13.19245,24.24962,-4.80835,3.12257,-0.99874,79.01574,-5.67951,-1.296488,0.440404,,,,,,,,,,,,2.27264,13.61024,0.22891,50,6.85461,1.186,-126.8646,-7.21537,3.65047,29.44206,-10.31222,DAV_WIL,SLU_BILL,WilsonField,D1,A10,20250413-WilsonField-1,2bba4820-1889-11f0-837d-49184ba919f3,85.58606,,,8.62997,,,,,,,cc1e0e90-911d-404c-a17e-66196ccb5aa1,2025-04-13,17:03:06.30,2025-04-13T13:03:06.3080960-04:00,2025-04-13T17:03:06.3080960Z,,v3,471280,471427,13 April 2025 13:00-stlouis@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,1dc370df-5e53-4025-9e8d-86ed47a7a31f,54.94125,-128.0062,14.72103,7.12663,-6.81552,-5.15611,0.18567,1.04446,1.82523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-13,13:03:51.39,1,3,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Blazier, Ian",813662,Left,SLU_BILL,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.41244,-2.525344,-0.125022,2255.889056,160.025313,11:15,7.15703,-0.17478,5.707,-12.76776,23.66277,-8.12685,3.73859,-0.96851,79.91671,-5.016991,-1.578323,0.434414,,,,,,,,,,,,4.10441,13.21583,0.19046,50,6.93782,0.62808,-128.15385,-5.96469,6.74216,29.51365,-10.46495,DAV_WIL,SLU_BILL,WilsonField,D1,A10,20250413-WilsonField-1,469ac660-1889-11f0-837d-49184ba919f3,86.7661,,,8.49572,,,,,,,cc1e0e90-911d-404c-a17e-66196ccb5aa1,2025-04-13,17:03:51.39,2025-04-13T13:03:51.3944064-04:00,2025-04-13T17:03:51.3944064Z,,v3,471280,471427,13 April 2025 13:00-stlouis@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,f33d5ee0-1207-47dc-bd6f-ae997555d287,54.79122,-129.25255,14.75682,7.15262,-5.57512,-5.23247,0.17175,0.37709,3.37108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-13,13:04:18.22,1,4,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Blazier, Ian",813662,Left,SLU_BILL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.92823,-1.876598,0.239231,2243.286725,173.584381,11:45,7.11946,-0.04675,5.5243,-9.70922,25.42848,-2.70158,4.55525,-0.04822,80.94755,-3.845203,-0.242208,0.426636,,,,,,,,,,,,1.42795,13.7843,0.02772,50,6.95008,-0.4209,-131.55716,-4.47348,2.44002,34.40488,-8.61979,DAV_WIL,SLU_BILL,WilsonField,D1,A10,20250413-WilsonField-1,567500a0-1889-11f0-837d-49184ba919f3,88.34791,,,9.98068,,,,,,,cc1e0e90-911d-404c-a17e-66196ccb5aa1,2025-04-13,17:04:18.22,2025-04-13T13:04:18.2278656-04:00,2025-04-13T17:04:18.2278656Z,,v3,471280,471427,13 April 2025 13:00-stlouis@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,38f1b59a-af87-49d1-9465-2dec5111de2a,54.96841,-132.85015,17.20244,7.11211,-4.14954,-4.3099,0.04526,-0.5126,1.22001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-13,13:04:33.41,1,5,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Blazier, Ian",813662,Left,SLU_BILL,Undefined,1,Top,0,2,2,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,72.00186,1.387317,0.951763,2249.592864,1.600817,6:00,7.01194,-0.14376,5.29484,-70.04799,-14.1354,-0.44976,2.47762,0.71247,65.74248,-11.288407,0.871636,0.538178,81.08367,18.561635,-77.460509,4486.556574,12.78472,18.28302,-109.25418,178.90173,91.83576,-89.510437,2.089523,0.53752,-6.94737,0.0575,50,7.087,-1.71815,-104.42443,0.24551,0.58328,20.41408,-39.71294,DAV_WIL,SLU_BILL,WilsonField,D1,A10,20250413-WilsonField-1,5f967f10-1889-11f0-837d-49184ba919f3,70.0371,18.92127,,6.25938,,,,0.24505,1.94665,-0.58344,cc1e0e90-911d-404c-a17e-66196ccb5aa1,2025-04-13,17:04:33.41,2025-04-13T13:04:33.4174720-04:00,2025-04-13T17:04:33.4174720Z,LineDrive,v3,471280,471427,13 April 2025 13:00-stlouis@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,cce25f39-d70c-441c-b73a-7cc11bf5accc,55.20796,-105.43762,10.20704,7.02591,2.21655,-19.85647,0.14349,-1.7471,0.29164,,0.24508,24.47393,-12.21221,0.10835,0.51408,-0.42107,0.20706,-0.0609,0.00772,1.94664,37.85693,-24.03528,3.8735,-0.97821,0.30794,-0.10199,0.02633,-0.00318,-0.58346,-110.04577,17.81252,-4.39554,0.98383,-0.08547,-0.05128,0.02373,-0.00344,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
6,2025-04-13,13:04:52.28,1,6,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Blazier, Ian",813662,Left,SLU_BILL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.8008,-3.405527,0.897086,2095.597147,168.463757,11:30,7.01886,-0.07932,5.72472,-13.18662,22.17174,-4.26429,2.74387,0.40095,81.18969,-5.96145,0.134205,0.427974,77.26223,47.718426,-60.574517,4165.652372,39.43429,92.35331,-102.68831,235.95488,99.82767,-74.726044,5.016149,2.45366,12.72524,0.00713,50,6.72644,-1.85038,-130.0418,-8.07993,4.15019,30.38753,-10.65021,DAV_WIL,SLU_BILL,WilsonField,D1,A10,20250413-WilsonField-1,6aec42a0-1889-11f0-837d-49184ba919f3,88.07178,95.62592,,8.61111,,,,0.71615,3.64957,-0.67889,cc1e0e90-911d-404c-a17e-66196ccb5aa1,2025-04-13,17:04:52.28,2025-04-13T13:04:52.2843648-04:00,2025-04-13T17:04:52.2843648Z,FlyBall,v3,471280,471427,13 April 2025 13:00-stlouis@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,76e9f809-2d0d-4329-81e9-8cba053d8b00,54.77312,-131.15241,15.19376,7.01463,-7.69068,-5.3251,0.07753,-2.00206,2.0751,147.828961,0.72746,37.21471,-13.60509,2.55778,0.60614,-0.56324,0.15696,-0.01986,0.00096,3.6447,83.9163,-22.45955,2.07516,-0.30784,-0.02919,0.03374,-0.00694,0.00046,-0.68289,-66.30799,8.75927,-1.06141,-0.43552,0.31738,-0.08735,0.0114,-0.00058,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
7,2025-04-13,13:05:13.31,1,7,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Blazier, Ian",813662,Left,SLU_BILL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.82443,-3.675747,-0.0421,2234.436854,173.892197,11:45,7.11446,0.07594,5.45664,-14.21028,21.45529,-2.15906,2.48469,-0.14339,81.36222,-6.394925,-0.426522,0.429829,70.75969,50.794756,-51.979299,4435.389282,50.10807,82.18346,-97.92434,196.78373,94.28634,-67.864729,4.508189,1.08134,12.34461,-0.07067,50,6.78088,0.19148,-130.02461,-8.76509,1.83112,30.02023,-11.26966,DAV_WIL,SLU_BILL,WilsonField,D1,A10,20250413-WilsonField-1,77735a40-1889-11f0-837d-49184ba919f3,87.69163,82.20136,,8.46221,,,,1.34849,3.186,-0.44818,cc1e0e90-911d-404c-a17e-66196ccb5aa1,2025-04-13,17:05:13.31,2025-04-13T13:05:13.3171200-04:00,2025-04-13T17:05:13.3171200Z,Popup,v3,471280,471427,13 April 2025 13:00-stlouis@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,300f8289-9ed7-4e44-b1ae-ac9db499ddc0,55.04199,-131.18354,15.01012,7.11086,-8.33002,-5.63483,-0.0767,0.12079,0.91556,143.610342,1.38953,39.48446,-10.01216,-2.90487,5.1154,-2.5868,0.64129,-0.07745,0.00361,3.19223,80.24623,-23.11686,0.44283,1.58717,-1.02864,0.31404,-0.04724,0.00279,-0.44738,-51.67453,3.08529,0.47302,-0.69843,0.3949,-0.12319,0.01972,-0.00125,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
8,2025-04-13,13:05:33.81,1,8,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Blazier, Ian",813662,Left,SLU_BILL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.21178,-4.065485,-0.645401,2271.288832,180.900868,12:00,7.07235,0.00221,5.56823,-12.84052,22.52848,0.33362,2.19791,-0.57291,81.42635,-6.550942,-0.585887,0.428038,62.11694,55.070217,-54.611506,4643.920001,44.92992,66.10747,-100.40569,156.76674,85.88356,-67.487673,4.347172,-0.37591,13.09257,0.0532,50,6.71342,1.45511,-130.48762,-9.61493,-0.63879,31.1531,-9.92595,DAV_WIL,SLU_BILL,WilsonField,D1,A10,20250413-WilsonField-1,839b8900-1889-11f0-837d-49184ba919f3,88.05857,75.21156,,8.78543,,,,1.42802,3.26762,-0.00798,cc1e0e90-911d-404c-a17e-66196ccb5aa1,2025-04-13,17:05:33.81,2025-04-13T13:05:33.8138112-04:00,2025-04-13T17:05:33.8138112Z,Popup,v3,471280,471427,13 April 2025 13:00-stlouis@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,379eb48f-523e-4a93-8195-39d8f2080263,54.92968,-131.65928,15.57655,7.06802,-9.24162,-4.96298,-0.00198,1.47914,-0.31939,150.452841,1.44182,29.83944,-8.72552,-0.55725,3.1169,-1.93663,0.57405,-0.08356,0.00478,3.2612,74.82659,-22.83688,2.70859,-0.72456,0.08032,0.03479,-0.01198,0.00103,-0.00617,-42.55912,3.6946,-0.53524,-0.01571,0.07935,-0.03656,0.0071,-0.00051,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
9,2025-04-13,13:05:59.87,1,9,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Blazier, Ian",813662,Left,SLU_BILL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,90.63591,-2.872493,0.599202,2263.856563,166.665324,11:30,7.02504,0.04434,5.84111,-13.49446,21.09792,-4.70083,3.22846,0.20951,81.75236,-5.492516,-0.24372,0.423313,75.01045,25.191891,-15.134918,2774.626136,103.81562,34.8871,-36.36335,225.14751,219.74296,-23.316567,3.026978,2.59528,12.06812,-0.09035,50,6.78321,-1.16871,-131.3215,-6.93878,4.46561,31.61528,-11.40892,DAV_WIL,SLU_BILL,WilsonField,D1,A10,20250413-WilsonField-1,932a8970-1889-11f0-837d-49184ba919f3,89.04151,35.23152,,8.88355,,,,1.43394,3.20173,-0.20011,cc1e0e90-911d-404c-a17e-66196ccb5aa1,2025-04-13,17:05:59.87,2025-04-13T13:05:59.8765568-04:00,2025-04-13T17:05:59.8765568Z,LineDrive,v3,471280,471427,13 April 2025 13:00-stlouis@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,45906120-c3c5-4d3d-827e-19a2269b30e8,54.65638,-132.43777,15.80764,7.02109,-6.53596,-5.70446,-0.0463,-1.32638,2.23281,124.121212,1.43365,96.11008,-15.6734,3.70759,-1.01859,0.34106,-0.10642,0.01988,-0.00147,3.2019,46.82143,-18.43849,1.00545,0.03577,-0.09302,0.03602,-0.00538,0.00022,-0.20011,-25.99155,-3.46099,1.65161,-0.50121,0.11033,-0.01794,0.00164,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-04-13,13:06:40.49,2,1,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Iffrig, Riley",1000094154,Left,SLU_BILL,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,69.07002,3.516429,0.054497,2123.947549,344.473623,5:30,7.10575,-0.26053,5.67416,-80.97256,-20.16848,6.26197,3.64053,0.31211,62.16644,-11.286237,1.176844,0.561226,,,,,,,,,,,,-3.11551,-10.61379,0.25207,50,7.35319,-0.31743,-100.00768,3.67695,-3.05687,20.81121,-42.58807,DAV_WIL,SLU_BILL,WilsonField,D1,A10,20250413-WilsonField-1,ab59f170-1889-11f0-837d-49184ba919f3,67.16088,,,6.90358,,,,,,,cc1e0e90-911d-404c-a17e-66196ccb5aa1,2025-04-13,17:06:40.49,2025-04-13T13:06:40.4911104-04:00,2025-04-13T17:06:40.4911104Z,,v3,471280,471427,13 April 2025 13:00-stlouis@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,1f660650-9833-4ee4-bfe7-88bed4d59af5,54.82896,-101.00757,10.4056,7.12737,5.72313,-21.29404,0.2638,-0.17056,-1.52844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2025-04-13,13:06:56.70,2,2,"Cavanaugh, Cooper",10120688,Left,DAV_WIL,"Iffrig, Riley",1000094154,Left,SLU_BILL,Undefined,1,Top,0,0,1,ChangeUp,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.53521,-1.079556,1.963511,2343.837544,304.059559,4:15,7.10269,-0.70532,4.8041,-48.40739,-1.0824,3.82382,2.04516,1.47446,72.35966,-9.761966,2.637298,0.495127,,,,,,,,,,,,-1.32701,0.21264,0.50628,50,6.95309,-4.06265,-113.84314,-3.92846,-1.7374,21.36172,-31.89563,DAV_WIL,SLU_BILL,WilsonField,D1,A10,20250413-WilsonField-1,b4f337f0-1889-11f0-837d-49184ba919f3,76.12683,,,6.17555,,,,,,,cc1e0e90-911d-404c-a17e-66196ccb5aa1,2025-04-13,17:06:56.70,2025-04-13T13:06:56.7062016-04:00,2025-04-13T17:06:56.7062016Z,,v3,471280,471427,13 April 2025 13:00-stlouis@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,651a48ce-f654-4932-a3f0-b7030154ca69,55.69636,-114.90704,10.68086,7.10918,-2.33992,-15.94782,0.70647,-3.97613,-0.8687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
