PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-02,18:05:17.59,1,1,"Fix, Isaac",801694,Left,DAV_WIL,"Schwartz, Ellis",1000079927,Left,GEO_COL,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.32788,-1.983642,3.908765,2084.454793,131.870847,10:30,5.69477,-2.46647,5.21348,-22.70218,12.71264,-12.85729,1.93253,0.14337,82.25749,-6.184384,1.636183,0.428316,,,,,,,,,,,,7.55516,7.26697,2.1149,50,5.49429,-8.33517,-130.69368,-5.36606,13.02345,28.41138,-19.64736,DAV_WIL,GEO_COL,WilsonField,D1,A10,20250502-WilsonField-1,889528e0-27a1-11f0-898d-c3081aa947c1,88.00156,,,8.07039,,,,,,,e044344d-847d-4c36-baa5-a5580c00e595,2025-05-02,22:05:17.59,2025-05-02T18:05:17.5985664-04:00,2025-05-02T22:05:17.5985664Z,,v3,471280,471301,02 May 2025 17:30-georgewash@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,592ece59-f1ae-49cb-a4b9-89a7efe4733f,55.28588,-131.83777,14.20569,5.69444,-4.57489,-9.82368,2.46111,-8.85961,6.51173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-02,18:05:32.83,1,2,"Fix, Isaac",801694,Left,DAV_WIL,"Schwartz, Ellis",1000079927,Left,GEO_COL,Undefined,1,Top,0,0,1,TwoSeamFastBall,Slider,InPlay,Undefined,LineDrive,Single,0,0,,85.19973,-0.582733,3.3726,2378.182101,150.952555,11:00,5.53415,-2.47507,5.29694,-35.38226,4.05984,-1.56992,2.03754,0.56425,78.17963,-7.034212,3.094487,0.452013,84.44854,14.81315,18.669398,1525.555451,103.4532,16.09277,37.38223,193.30084,193.30084,21.275195,1.961095,1.72614,2.545,2.1692,50,5.4552,-7.21054,-123.49195,-2.55187,2.66636,24.52404,-28.24277,DAV_WIL,GEO_COL,WilsonField,D1,A10,20250502-WilsonField-1,91aa7250-27a1-11f0-898d-c3081aa947c1,83.38788,16.23638,,7.0201,,,,1.62175,2.09219,-0.53624,e044344d-847d-4c36-baa5-a5580c00e595,2025-05-02,22:05:32.83,2025-05-02T18:05:32.8368640-04:00,2025-05-02T22:05:32.8368640Z,LineDrive,v3,471280,471301,02 May 2025 17:30-georgewash@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,8db47db8-182b-4a3b-8066-10772308e3b8,55.20343,-124.521,12.26202,5.53741,-1.36678,-14.12138,2.47411,-7.32242,1.33318,251.345835,1.62175,113.44058,-15.61127,3.06899,-0.64739,0.11827,-0.02158,0.00318,-0.00024,2.09219,31.66639,-18.88302,1.47987,-0.25876,0.04734,-0.00649,0.00101,-0.0001,-0.53624,38.33001,-0.64309,-0.53408,0.21464,-0.05827,0.01219,-0.0018,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-05-02,18:06:13.94,2,1,"Fix, Isaac",801694,Left,DAV_WIL,"Rogan, Charlie",813159,Left,GEO_COL,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.3798,-0.5441,4.306029,2425.38016,165.888918,11:30,5.5797,-2.45152,5.27593,-32.68919,6.56611,-1.35193,2.3431,1.48789,78.53726,-6.506516,4.067217,0.450942,,,,,,,,,,,,1.82299,3.78977,2.05862,50,5.50589,-9.25197,-123.64736,-2.36685,2.83462,23.64332,-26.28126,DAV_WIL,GEO_COL,WilsonField,D1,A10,20250502-WilsonField-1,aa142430-27a1-11f0-898d-c3081aa947c1,83.58603,,,6.84254,,,,,,,e044344d-847d-4c36-baa5-a5580c00e595,2025-05-02,22:06:13.94,2025-05-02T18:06:13.9482112-04:00,2025-05-02T22:06:13.9482112Z,,v3,471280,471301,02 May 2025 17:30-georgewash@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,5c491b50-bb9b-4cc8-99f2-a40a2e7d8312,55.22402,-124.64227,11.82166,5.58222,-1.26094,-13.14063,2.45046,-9.37125,1.41731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-02,18:06:32.70,2,2,"Fix, Isaac",801694,Left,DAV_WIL,"Rogan, Charlie",813159,Left,GEO_COL,Undefined,1,Top,0,1,0,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.15813,-0.644408,3.994006,2387.058876,165.480619,11:30,5.54993,-2.57584,5.31161,-34.29211,4.99992,-0.99465,2.0859,1.09624,78.56308,-6.887337,3.818016,0.451153,60.085,1.714982,-131.505071,5857.843227,,,,40.91123,36.45183,-130.888454,0.517963,1.5489,2.98402,2.21381,50,5.46625,-8.57699,-123.43486,-2.63266,2.40377,23.21065,-27.54306,DAV_WIL,GEO_COL,WilsonField,D1,A10,20250502-WilsonField-1,b55f3960-27a1-11f0-898d-c3081aa947c1,83.54693,2.53476,,6.59505,,,,3.00646,2.41515,-0.9189,e044344d-847d-4c36-baa5-a5580c00e595,2025-05-02,22:06:32.70,2025-05-02T18:06:32.7024640-04:00,2025-05-02T22:06:32.7024640Z,GroundBall,v3,471280,471301,02 May 2025 17:30-georgewash@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,5ce6bb2e-14e7-4deb-b1ac-d19ea4ca3ac7,55.19022,-124.40699,11.60532,5.55236,-1.47907,-13.77153,2.57515,-8.67767,1.20189,,3.0107,-58.4852,1.85873,,,,,,,2.42127,2.47963,-13.83413,,,,,,,-0.93835,-65.45986,14.66348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-05-02,18:07:17.90,2,3,"Fix, Isaac",801694,Left,DAV_WIL,"Rogan, Charlie",813159,Left,GEO_COL,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.30702,-0.092757,2.107542,2377.571261,339.581409,5:15,5.72214,-2.54486,4.82128,-49.41432,-4.66677,2.33823,1.51636,-0.35287,73.69442,-9.00279,2.519467,0.481455,,,,,,,,,,,,-0.46886,-1.93772,2.33342,50,5.66993,-4.43145,-117.70995,-2.06141,-0.64593,26.11301,-34.84353,DAV_WIL,GEO_COL,WilsonField,D1,A10,20250502-WilsonField-1,d0497ba0-27a1-11f0-898d-c3081aa947c1,78.28853,,,7.61261,,,,,,,e044344d-847d-4c36-baa5-a5580c00e595,2025-05-02,22:07:17.90,2025-05-02T18:07:17.9040000-04:00,2025-05-02T22:07:17.9040000Z,,v3,471280,471301,02 May 2025 17:30-georgewash@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,eb12e096-0a34-498f-a7d9-ab922f326d73,55.67947,-118.96323,13.05651,5.72873,-0.38912,-17.42176,2.54536,-4.40045,-0.32297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.61241,2.068715,0.797133,1.271582,5.42738,2.12684,0.52827,-0.55512,5.74379,-0.5302,127.28585,3.94723,-4.9692,-0.44661,111.41842,-8.71791,5.7596,13.67115,-11.88928,-0.59206,-8.22646,3.81454,High,High,High,,,High,Medium,Medium
6,2025-05-02,18:07:48.04,2,4,"Fix, Isaac",801694,Left,DAV_WIL,"Rogan, Charlie",813159,Left,GEO_COL,Undefined,1,Top,0,2,1,ChangeUp,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.92933,-1.301049,3.254959,2235.306357,0.564258,6:00,5.61329,-2.48585,4.95402,-44.21235,-0.32854,-0.0187,0.69741,0.59141,74.43104,-9.287866,3.25166,0.476786,,,,,,,,,,,,1.06638,0.64685,2.17003,50,5.45046,-6.73799,-118.49256,-4.34007,1.49198,26.0048,-31.26906,DAV_WIL,GEO_COL,WilsonField,D1,A10,20250502-WilsonField-1,e24b29c0-27a1-11f0-898d-c3081aa947c1,79.05525,,,7.49829,,,,,,,e044344d-847d-4c36-baa5-a5580c00e595,2025-05-02,22:07:48.04,2025-05-02T18:07:48.0461824-04:00,2025-05-02T22:07:48.0461824Z,,v3,471280,471301,02 May 2025 17:30-georgewash@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,0bfc1feb-552b-4f0f-99f5-c8a412b02583,55.5456,-119.70343,13.0024,5.61865,-2.88407,-15.63453,2.48539,-6.80746,0.74599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-02,18:08:09.49,2,5,"Fix, Isaac",801694,Left,DAV_WIL,"Rogan, Charlie",813159,Left,GEO_COL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.45844,-0.99296,3.118519,2142.278873,144.537525,10:45,5.68542,-2.33388,5.36365,-19.7154,15.40922,-10.12418,3.10987,-0.25037,82.05162,-4.690847,1.322803,0.426557,76.06785,29.671304,-141.998565,3989.835211,-95.98106,33.59062,-53.73568,188.96958,57.31131,-155.681514,2.577034,6.02016,8.38099,2.06117,50,5.58255,-6.67717,-131.03345,-2.94823,10.39862,29.37049,-17.69756,DAV_WIL,GEO_COL,WilsonField,D1,A10,20250502-WilsonField-1,ef0c8b40-27a1-11f0-898d-c3081aa947c1,88.3643,34.19642,,8.40683,,,,1.58429,2.81711,0.49366,e044344d-847d-4c36-baa5-a5580c00e595,2025-05-02,22:08:09.49,2025-05-02T18:08:09.4939136-04:00,2025-05-02T22:08:09.4939136Z,FlyBall,v3,471280,471301,02 May 2025 17:30-georgewash@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,2baa25d7-a2eb-4be3-9186-5a28d68f284c,55.13518,-132.17946,14.68525,5.68411,-2.25768,-8.84878,2.32962,-7.08291,5.19931,,1.5843,-76.38676,5.15148,-0.88864,0.11967,-0.01252,0.00077,-8E-05,2E-05,2.81707,55.2299,-27.34862,3.16208,-0.55195,0.07801,-0.01058,0.00163,-0.00015,0.49356,-59.67736,21.20783,-6.25648,1.55396,-0.37499,0.06915,-0.00578,-5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2025-05-02,18:08:31.84,2,6,"Fix, Isaac",801694,Left,DAV_WIL,"Rogan, Charlie",813159,Left,GEO_COL,Undefined,1,Top,0,2,2,ChangeUp,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.81997,-0.720968,3.078862,2177.281923,320.936297,4:45,5.64061,-2.58499,4.81173,-46.42258,-1.00362,2.15843,1.08803,0.51446,73.23425,-9.095717,3.458452,0.485054,,,,,,,,,,,,-0.04925,0.1522,2.27661,50,5.52867,-6.37851,-116.86715,-3.21066,-0.06685,25.78588,-31.96742,DAV_WIL,GEO_COL,WilsonField,D1,A10,20250502-WilsonField-1,fc6a7ae0-27a1-11f0-898d-c3081aa947c1,77.70773,,,7.58571,,,,,,,e044344d-847d-4c36-baa5-a5580c00e595,2025-05-02,22:08:31.84,2025-05-02T18:08:31.8406144-04:00,2025-05-02T22:08:31.8406144Z,,v3,471280,471301,02 May 2025 17:30-georgewash@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,b6210b36-221f-4751-a55a-992fa2ad26da,55.68756,-118.1154,12.89294,5.64664,-1.66317,-15.98371,2.58531,-6.37528,-0.03343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-02,18:08:50.03,2,7,"Fix, Isaac",801694,Left,DAV_WIL,"Rogan, Charlie",813159,Left,GEO_COL,Undefined,1,Top,0,3,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.94176,0.807334,2.832319,2290.067474,328.543213,5:00,5.52673,-2.45715,4.8964,-48.38054,-2.65433,2.75693,2.25964,0.4538,72.18095,-7.990148,3.317597,0.486692,,,,,,,,,,,,-0.30378,-1.0628,2.17709,50,5.56568,-5.90395,-116.87571,-0.16982,-0.40705,28.4418,-33.59817,DAV_WIL,GEO_COL,WilsonField,D1,A10,20250502-WilsonField-1,07289250-27a2-11f0-898d-c3081aa947c1,77.44621,,,8.76081,,,,,,,e044344d-847d-4c36-baa5-a5580c00e595,2025-05-02,22:08:50.03,2025-05-02T18:08:50.0359168-04:00,2025-05-02T22:08:50.0359168Z,,v3,471280,471301,02 May 2025 17:30-georgewash@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,e69bca68-362d-4292-9ccb-c895673c8eff,55.59924,-118.23043,14.2209,5.53566,1.43051,-16.79909,2.45785,-5.88456,-0.20353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-02,18:09:17.00,3,1,"Fix, Isaac",801694,Left,DAV_WIL,"Nicholson, Tim",1000016397,Right,GEO_COL,Undefined,1,Top,1,0,0,Sinker,Slider,HitByPitch,Undefined,Undefined,Undefined,0,0,,85.84064,-1.465783,4.663351,2539.94233,162.346564,11:30,5.50111,-2.42137,5.32822,-32.69762,6.57882,-1.66823,1.39604,1.82509,78.17974,-7.445985,4.368501,0.451063,,,,,,,,,,,,2.25351,4.11795,2.00015,50,5.34471,-10.04945,-124.07672,-4.3626,3.48366,26.76385,-25.80822,DAV_WIL,GEO_COL,WilsonField,D1,A10,20250502-WilsonField-1,17457ae0-27a2-11f0-898d-c3081aa947c1,83.56352,,,7.66089,,,,,,,e044344d-847d-4c36-baa5-a5580c00e595,2025-05-02,22:09:17.00,2025-05-02T18:09:17.0077696-04:00,2025-05-02T22:09:17.0077696Z,,v3,471280,471301,02 May 2025 17:30-georgewash@davidson,"Jouras, Noah",1000282260,Right,DAV_WIL,e0f19963-c4e6-47c9-9897-1fe3482388f0,55.17099,-125.18716,13.38192,5.5035,-3.29181,-12.90411,2.4201,-10.19398,1.74183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
