playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,SwStrk%,Runs,CallStrk#,InZone#,OutOfZone#,Chase#,Ball#,TrackmanP,BA,SLG,OnBase,90thExitVel,FBLDDst,MaxHRDst,ExitVel,MxExitVel,InZoneWhiff%,AB,Chase%,KnownPitchLocation,H
1297576704,C. Canon,Cider Canon,Canon,Cider,RF,Davidson College,DAV,730363136,Davidson,BBC,R,R,9.7%,5,6,18,44,11,30,62,.250,.417,7,104.2,269.3,-,85.5,105.0,6.7%,12,25.0%,62,3
1471652542,J. Daly,Jamie Daly,Daly,Jamie,CF,Davidson College,DAV,730363136,Davidson,BBC,L,R,12.9%,4,19,29,27,8,20,56,.267,.267,5,105.7,320.4,-,88.1,107.5,21.4%,15,29.6%,56,4
1272581376,C. Schuchart,Chris Schuchart,Schuchart,Chris,1B,Davidson College,DAV,730363136,Davidson,BBC,R,R,9.6%,5,5,25,27,9,19,52,.462,1.000,7,103.4,281.3,408.61,80.6,106.5,5.3%,13,33.3%,52,6
1759708672,C. Collins,Cooper Collins,Collins,Cooper,2B,Davidson College,DAV,730363136,Davidson,BBC,R,R,14.8%,3,5,24,28,7,21,52,.333,.556,7,92.7,225.4,-,77.5,97.6,25.0%,9,25.0%,52,3
1332977920,M. O'Shaughnessy,Michael O'Shaughnessy,O'Shaughnessy,Michael,3B,Davidson College,DAV,730363136,Davidson,BBC,L,R,7.7%,7,7,20,31,6,22,51,.500,.917,9,105.4,340.2,372.89,99.0,106.6,11.8%,12,19.4%,51,6
1330454017,N. Jouras,Noah Jouras,Jouras,Noah,C,Davidson College,DAV,730363136,Davidson,BBC,R,R,16.0%,4,7,26,24,8,16,50,.400,.800,7,94.2,248.1,386.37,82.8,100.5,15.8%,15,33.3%,50,6
1282331648,E. Putnam,Eli Putnam,Putnam,Eli,1B,Davidson College,DAV,730363136,Davidson,BBC,R,R,9.3%,10,7,23,20,8,7,43,.800,1.933,12,108.6,300.0,422.20,99.3,108.8,4.8%,15,40.0%,43,12
1191505152,J. Cotrone,Jack Cotrone,Cotrone,Jack,SS,Davidson College,DAV,730363136,Davidson,BBC,R,R,8.6%,4,4,18,17,2,14,35,.286,.714,6,105.2,319.8,395.37,90.7,105.2,6.7%,7,11.8%,35,2
1307930112,A. Torreso,Anthony Torreso,Torreso,Anthony,P,Davidson College,DAV,730363136,Davidson,BBC,R,R,6.5%,3,7,15,15,3,11,30,.571,1.571,6,104.4,380.9,413.07,100.4,104.4,0.0%,7,20.0%,30,4
1297003776,J. Woodall,JD Woodall,Woodall,JD,LF,Davidson College,DAV,730363136,Davidson,BBC,R,R,4.5%,1,6,5,17,1,13,22,.000,.000,3,76.3,-,-,76.3,76.3,50.0%,2,5.9%,22,0
1456735724,S. Edwards,Scott Edwards,Edwards,Scott,LF,Davidson College,DAV,730363136,Davidson,BBC,R,R,9.1%,2,5,8,13,2,7,21,.400,.400,3,86.6,163.3,-,76.9,86.6,14.3%,5,15.4%,21,2
1917819429,F. Lietz,Forrest Lietz,Lietz,Forrest,RF,Davidson College,DAV,730363136,Davidson,BBC,L,L,40.0%,0,1,1,4,2,1,5,.000,.000,0,-,-,-,-,-,100.0%,1,50.0%,5,0
1573556195,F. Diaz,Fredy Diaz,Diaz,Fredy,SS,Davidson College,DAV,730363136,Davidson,BBC,R,R,0.0%,0,2,3,2,1,1,5,.000,.000,0,-,-,-,-,-,0.0%,1,50.0%,5,0
1223223040,A. Katz,Adam Katz,Katz,Adam,P,Davidson College,DAV,730363136,Davidson,BBC,L,R,0.0%,0,0,1,3,0,4,4,-,-,1,-,-,-,-,-,-,0,0.0%,4,0
1162347264,G. Thomas,Gavin Thomas,Thomas,Gavin,RF,Davidson College,DAV,730363136,Davidson,BBC,R,R,33.3%,0,1,2,1,0,0,3,.000,.000,0,-,-,-,-,-,50.0%,1,0.0%,3,0
1174677248,L. Reeves,Landon Reeves,Reeves,Landon,1B,Davidson College,DAV,730363136,Davidson,BBC,L,L,0.0%,0,1,1,1,0,3,2,1.000,2.000,1,89.3,265.9,-,89.3,89.3,0.0%,1,0.0%,2,1
1239163392,A. Rice,Aidan Rice,Rice,Aidan,CF,Davidson College,DAV,730363136,Davidson,BBC,R,R,0.0%,0,0,1,0,0,0,1,.000,.000,0,-,-,-,-,-,0.0%,1,-,1,0
